interest_area,price_preference,trendiness,design_style,recipient,location,delivery_timeline,recommended_product
outdoor,high,non-mainstream,minimalist,siblings,Canada,5,camping stove
baby,medium,mainstream,vintage,parents,Singapore,10,baby crib
automotive,high,mainstream,monochromatic,spouse,Australia,14,car vacuum
apparel,low,non-mainstream,universal,friends,India,7,dress
plush,medium,non-mainstream,caricature,colleagues,Canada,3,plush tiger
toys,high,mainstream,Chinese,children,India,5,toy truck
pet-friendly,low,non-mainstream,Western,pets,Australia,7,dog food
kitchen,medium,mainstream,Asian,neighbors,India,5,kettle
dancing,high,mainstream,cute,classmates,Singapore,10,salsa shoes
cooking,low,mainstream,professional,yourself,Australia,7,blender
outdoor,high,non-mainstream,minimalist,siblings,Germany,14,backpack
baby,medium,mainstream,vintage,parents,USA,7,baby walker
automotive,high,mainstream,monochromatic,spouse,Germany,5,tire cleaner
apparel,low,non-mainstream,universal,friends,Germany,7,jeans
plush,medium,non-mainstream,caricature,colleagues,Japan,10,teddy bear
toys,high,mainstream,Chinese,children,Singapore,7,action figure
pet-friendly,low,non-mainstream,Western,pets,Singapore,10,bird food
kitchen,medium,mainstream,Asian,neighbors,Singapore,14,food processor
dancing,high,mainstream,cute,classmates,USA,5,dancing shoes
cooking,low,mainstream,professional,yourself,UK,3,cutting board
outdoor,high,non-mainstream,minimalist,siblings,Japan,10,backpack
baby,medium,mainstream,vintage,parents,Canada,10,baby walker
automotive,high,mainstream,monochromatic,spouse,USA,14,car vacuum
apparel,low,non-mainstream,universal,friends,Germany,7,t-shirt
plush,medium,non-mainstream,caricature,colleagues,Canada,7,plush elephant
toys,high,mainstream,Chinese,children,Singapore,7,robot toy
pet-friendly,low,non-mainstream,Western,pets,France,7,dog food
kitchen,medium,mainstream,Asian,neighbors,Japan,14,blender
dancing,high,mainstream,cute,classmates,India,7,jazz shoes
cooking,low,mainstream,professional,yourself,France,10,pan
outdoor,high,non-mainstream,minimalist,siblings,UK,10,camping stove
baby,medium,mainstream,vintage,parents,Singapore,14,baby walker
automotive,high,mainstream,monochromatic,spouse,Japan,14,car wax
apparel,low,non-mainstream,universal,friends,Germany,10,t-shirt
plush,medium,non-mainstream,caricature,colleagues,France,5,plush bear
toys,high,mainstream,Chinese,children,Singapore,14,lego set
pet-friendly,low,non-mainstream,Western,pets,Canada,5,dog leash
kitchen,medium,mainstream,Asian,neighbors,India,7,coffee maker
dancing,high,mainstream,cute,classmates,USA,10,dancing shoes
cooking,low,mainstream,professional,yourself,Canada,5,cutting board
outdoor,high,non-mainstream,minimalist,siblings,Singapore,7,tent
baby,medium,mainstream,vintage,parents,France,7,baby stroller
automotive,high,mainstream,monochromatic,spouse,Germany,14,tire cleaner
apparel,low,non-mainstream,universal,friends,China,5,t-shirt
plush,medium,non-mainstream,caricature,colleagues,UK,3,plush tiger
toys,high,mainstream,Chinese,children,India,10,puzzle
pet-friendly,low,non-mainstream,Western,pets,Japan,3,rabbit food
kitchen,medium,mainstream,Asian,neighbors,UK,5,rice cooker
dancing,high,mainstream,cute,classmates,USA,3,jazz shoes
cooking,low,mainstream,professional,yourself,Australia,7,cutting board
outdoor,high,non-mainstream,minimalist,siblings,India,10,backpack
baby,medium,mainstream,vintage,parents,Australia,14,baby monitor
automotive,high,mainstream,monochromatic,spouse,Australia,5,car vacuum
apparel,low,non-mainstream,universal,friends,India,3,jacket
plush,medium,non-mainstream,caricature,colleagues,Canada,10,teddy bear
toys,high,mainstream,Chinese,children,India,3,puzzle
pet-friendly,low,non-mainstream,Western,pets,Canada,7,dog leash
kitchen,medium,mainstream,Asian,neighbors,USA,14,coffee maker
dancing,high,mainstream,cute,classmates,Japan,5,jazz shoes
cooking,low,mainstream,professional,yourself,France,7,knife set
outdoor,high,non-mainstream,minimalist,siblings,UK,10,lantern
baby,medium,mainstream,vintage,parents,Australia,10,baby crib
automotive,high,mainstream,monochromatic,spouse,UK,10,car wax
apparel,low,non-mainstream,universal,friends,UK,7,jacket
plush,medium,non-mainstream,caricature,colleagues,China,10,plush panda
toys,high,mainstream,Chinese,children,Singapore,14,board game
pet-friendly,low,non-mainstream,Western,pets,Germany,7,dog food
kitchen,medium,mainstream,Asian,neighbors,USA,3,microwave
dancing,high,mainstream,cute,classmates,Germany,7,dancing shoes
cooking,low,mainstream,professional,yourself,USA,10,frying pan
outdoor,high,non-mainstream,minimalist,siblings,UK,3,lantern
baby,medium,mainstream,vintage,parents,Canada,7,baby stroller
automotive,high,mainstream,monochromatic,spouse,Germany,7,car wax
apparel,low,non-mainstream,universal,friends,UK,10,shirt
plush,medium,non-mainstream,caricature,colleagues,Canada,3,teddy bear
toys,high,mainstream,Chinese,children,Singapore,10,puzzle
pet-friendly,low,non-mainstream,Western,pets,Australia,5,cat food
kitchen,medium,mainstream,Asian,neighbors,China,5,kettle
dancing,high,mainstream,cute,classmates,Japan,14,tap shoes
